a,b,a_desc,b_desc,combined,visual,silhouette,color,text
U5-12,G3-10,本の束でできたゴーレム,道路標識ゴーレム,0.64107,0.71855,0.72651,0.71126,0.51466
U5-07,U5-27,泡をまとった青赤の海竜,二つ首の青赤海竜,0.64085,0.79108,0.78793,0.79409,0.39572
U6-07,G3-24,青い重装騎士,チェスのルーク騎士,0.64064,0.78869,0.81107,0.76811,0.3991
G5-07,G5-27,黒紫の深淵魔王,舞台ごと現れた夢劇場の王,0.64032,0.8803,0.92296,0.84097,0.24877
U4-06,G3-10,溶岩でできた巨大ゴーレム,道路標識ゴーレム,0.64005,0.75272,0.75674,0.74909,0.45623
U5-24,U6-15,火山を背負った溶岩ガメ,甲羅装甲の緑カメ,0.63981,0.78996,0.78161,0.79774,0.39484
U2-29,U6-14,青いランタンを持つフード幽霊,舌を出す白い幽霊,0.63868,0.83153,0.87351,0.79282,0.32402
G1-25,G4-27,砂時計の精,宇宙方位磁針の巨人,0.63812,0.75602,0.81598,0.70067,0.44576
U5-30,U6-23,王冠とローブの黄金スライム王,緑の毒スライム,0.63787,0.7912,0.87157,0.71705,0.3877
G4-26,G5-07,多数の王冠をまとう王,黒紫の深淵魔王,0.63697,0.85278,0.87621,0.83119,0.28486
U1-20,U3-28,星をまとった黄色いスライム,葉のふたを持つ緑の壺スライム,0.63666,0.77321,0.87353,0.68059,0.41387
U2-15,U6-02,葉と角を持つ緑の子ドラゴン,緑の翼竜,0.63627,0.79645,0.85468,0.74276,0.37493
U4-08,U4-23,鎌を持つ騎乗死神,王冠と杖を持つリッチ王,0.63577,0.77957,0.76491,0.79313,0.40114
G4-11,G4-18,摩天楼の巨人,時計塔の怪物,0.63541,0.79342,0.71585,0.86507,0.3776
U5-08,U6-07,盾と槍を持つカカシ騎士,青い重装騎士,0.63535,0.79205,0.86044,0.72898,0.37969
U4-30,U5-16,雲に乗る金色の天竜,砂をまとった金色の竜,0.63523,0.81283,0.81525,0.81066,0.34545
U6-09,G4-14,苔むした岩ゴーレム,日時計の巨像,0.63492,0.83522,0.87421,0.79926,0.3081
G4-16,G5-27,操り人形の王,舞台ごと現れた夢劇場の王,0.63478,0.80253,0.80471,0.80058,0.36109
U4-27,U5-12,歯車を内蔵した森のゴーレム,本の束でできたゴーレム,0.63448,0.77983,0.78798,0.7723,0.39733
U1-01,U4-01,葉を生やした青い水スライム,王冠とローブをまとったスライム王,0.63439,0.83515,0.85083,0.82074,0.30683
U3-01,U4-01,泡を出す青いスライム,王冠とローブをまとったスライム王,0.63433,0.80332,0.82007,0.78792,0.35862
U6-07,G4-13,青い重装騎士,彗星剣の戦士,0.63431,0.78259,0.84464,0.72533,0.39238
U2-06,G2-20,水の体と巻貝を持つカタツムリ,巻貝の精,0.63388,0.6939,0.76438,0.62888,0.53594
G4-16,G4-26,操り人形の王,多数の王冠をまとう王,0.63353,0.81117,0.76033,0.85817,0.3437
G3-18,G4-06,自動販売機ミミック,黒曜石の音楽箱獣,0.63323,0.84156,0.86205,0.82268,0.29333
U4-06,G3-20,溶岩でできた巨大ゴーレム,郵便ポストゴーレム,0.63285,0.75271,0.7563,0.74946,0.4373
U6-09,U6-19,苔むした岩ゴーレム,青い氷結晶ゴーレム,0.63281,0.70676,0.80912,0.61216,0.51215
U1-30,U3-29,泡をまとった青い子ドラゴン,赤い子ドラゴン,0.63274,0.54558,0.8018,0.309,0.77496
U2-18,G2-20,青結晶の殻を持つカタツムリ,巻貝の精,0.63207,0.72464,0.78254,0.6712,0.48102
U5-08,G4-10,盾と槍を持つカカシ騎士,鏡の迷宮騎士,0.63175,0.80373,0.82592,0.78336,0.35114
G4-17,G4-26,ルーレット魔王,多数の王冠をまとう王,0.63149,0.84231,0.79983,0.88158,0.28753
U5-24,G3-19,火山を背負った溶岩ガメ,古いカメラのクモ,0.63113,0.79283,0.82055,0.76727,0.36729
U4-06,U6-09,溶岩でできた巨大ゴーレム,苔むした岩ゴーレム,0.63101,0.74097,0.82548,0.66296,0.45161
G5-07,G5-22,黒紫の深淵魔王,多色の門を操る次元王,0.63041,0.84875,0.88693,0.81357,0.27416
U5-26,U6-06,楽器を弾く魔法使いガイコツ,剣盾を持つガイコツ兵,0.63001,0.75815,0.70651,0.80592,0.42094
G3-17,G3-20,城入りスノードームゴーレム,郵便ポストゴーレム,0.62988,0.74298,0.88737,0.6097,0.44535
U6-06,U6-29,剣盾を持つガイコツ兵,王冠と杖を持つ黒いリッチ王,0.62937,0.78123,0.7932,0.77025,0.38161
G3-10,G3-17,道路標識ゴーレム,城入りスノードームゴーレム,0.62922,0.73009,0.78499,0.67951,0.46463
G4-02,G4-27,時計仕掛けの宮殿巨人,宇宙方位磁針の巨人,0.62882,0.78004,0.72673,0.82929,0.38211
U4-12,U6-07,白翼の聖騎士,青い重装騎士,0.6284,0.72557,0.80707,0.65033,0.46984
U6-09,G4-25,苔むした岩ゴーレム,星空球を抱く巨像,0.62814,0.82417,0.83062,0.81823,0.30831
U2-08,U3-10,紫の鬼火に包まれたドクロ,青い鬼火をまとったガイコツ,0.62777,0.70607,0.75405,0.66178,0.5
G5-07,G5-10,黒紫の深淵魔王,白毛の巨大獣王,0.62744,0.81641,0.9139,0.72636,0.31911
U3-24,U4-05,氷をまとった青白いヒツジ,氷をまとった青いフェニックス,0.62733,0.84778,0.85411,0.84199,0.26766
U4-27,G4-14,歯車を内蔵した森のゴーレム,日時計の巨像,0.62731,0.85797,0.88085,0.83683,0.25099
G4-02,G4-28,時計仕掛けの宮殿巨人,虹結晶の大聖堂,0.6272,0.814,0.78789,0.83813,0.32244
U2-13,U6-24,水をまとった青いカワウソ,水をまとった青い海竜,0.62683,0.79597,0.85551,0.74105,0.35088
U3-23,U5-15,旅装をしたキノコ,太鼓を持つキノコ旅人,0.6267,0.78865,0.7516,0.82293,0.36245
U2-09,U5-24,葉を背負った小さなカメ,火山を背負った溶岩ガメ,0.62662,0.71989,0.78627,0.65868,0.47446
U4-14,U6-12,青い鬼火をまとう九尾の白狐,青いオオカミ,0.62645,0.76501,0.8638,0.67376,0.40038
U2-21,G3-05,岩の体と赤いハサミを持つヤドカリ,時計仕掛けのカニ,0.62641,0.80831,0.83807,0.78096,0.32963
U2-23,U6-16,青白いグリフォン,雷をまとった青黄の鳥,0.62584,0.79858,0.84086,0.75962,0.34401
U5-12,G3-17,本の束でできたゴーレム,城入りスノードームゴーレム,0.62575,0.75358,0.80393,0.70714,0.41719
U1-08,U3-14,青い鬼火をまとった小さなガイコツ,青い鬼火をまとった白い霊体,0.62575,0.7614,0.74516,0.77645,0.40443
G3-21,G4-13,ケーキ騎士,彗星剣の戦士,0.62548,0.75187,0.80304,0.70465,0.41926
U4-05,U6-16,氷をまとった青いフェニックス,雷をまとった青黄の鳥,0.62518,0.77417,0.88215,0.67445,0.38208
U5-14,U6-25,一つ目の巨大樹人,顔のある巨大樹,0.62504,0.81608,0.78387,0.84589,0.31334
G4-14,G4-27,日時計の巨像,宇宙方位磁針の巨人,0.62495,0.7832,0.77771,0.78833,0.36674
U3-10,U3-14,青い鬼火をまとったガイコツ,青い鬼火をまとった白い霊体,0.62487,0.7466,0.75552,0.73838,0.42626
U6-19,G3-17,青い氷結晶ゴーレム,城入りスノードームゴーレム,0.62478,0.75065,0.80743,0.6982,0.4194
G4-26,G5-27,多数の王冠をまとう王,舞台ごと現れた夢劇場の王,0.6244,0.85644,0.86596,0.84773,0.24582
G5-03,G5-18,月を背負う優雅な女王,天空と大地をまとった地平の女王,0.62436,0.83519,0.86026,0.81211,0.28036
U6-03,U6-16,青白い大ワシ,雷をまとった青黄の鳥,0.62435,0.78127,0.80779,0.75683,0.36831
U4-09,G4-07,杖を持つ森の妖精女王,磁器の女王,0.62358,0.74222,0.85564,0.63747,0.42999
U1-30,U5-27,泡をまとった青い子ドラゴン,二つ首の青赤海竜,0.62297,0.8266,0.86034,0.7955,0.29073
G3-30,G4-02,機械仕掛けの巨大方位磁針,時計仕掛けの宮殿巨人,0.62239,0.76325,0.7364,0.78806,0.39256
U4-15,U5-12,結晶装甲の岩ゴーレム,本の束でできたゴーレム,0.6219,0.72593,0.83291,0.62716,0.45217
G4-01,G4-14,大聖堂の鐘を宿す巨像,日時計の巨像,0.62187,0.85359,0.84403,0.86246,0.24381
G4-28,G4-29,虹結晶の大聖堂,火山炉の城塞巨人,0.6213,0.804,0.88009,0.73379,0.32321
U4-15,G3-10,結晶装甲の岩ゴーレム,道路標識ゴーレム,0.62117,0.69324,0.81657,0.57938,0.50358
U5-01,U6-23,泡を出す青いスライム,緑の毒スライム,0.6205,0.63377,0.83474,0.44819,0.59884
G1-17,G2-21,ハンドベルの生物,サンゴ鐘の生物,0.62044,0.73426,0.74691,0.72256,0.43474
G4-07,G5-10,磁器の女王,白毛の巨大獣王,0.6202,0.76637,0.75348,0.77835,0.38171
G4-01,G4-18,大聖堂の鐘を宿す巨像,時計塔の怪物,0.62002,0.82545,0.76377,0.88245,0.28483
U4-18,G4-07,水と蓮に包まれた女王,磁器の女王,0.6199,0.74804,0.899,0.60853,0.41082
U6-02,U6-24,緑の翼竜,水をまとった青い海竜,0.61981,0.75483,0.83181,0.68379,0.39953
U2-16,U3-04,体が溶けたロウソクの精,炎を灯したロウソク幽霊,0.61958,0.85076,0.81274,0.88592,0.24238
G4-07,G5-09,磁器の女王,氷宮の女帝,0.61949,0.80083,0.85765,0.74828,0.32361
U6-01,U6-23,笑顔の青いスライム,緑の毒スライム,0.61928,0.63472,0.84145,0.44385,0.59408
U2-07,U3-11,青い羽のハチ妖精,光球を出す青橙の蝶,0.61913,0.81817,0.85943,0.78012,0.29438
U3-07,G2-20,青い体と橙色の殻のカタツムリ,巻貝の精,0.61896,0.69631,0.7483,0.64834,0.49276
U2-01,U3-01,葉を生やした緑のスライム,泡を出す青いスライム,0.61859,0.69707,0.85446,0.55174,0.49054
U5-06,U6-16,金青の装飾を持つ白い猛禽,雷をまとった青黄の鳥,0.61854,0.80375,0.86081,0.75108,0.31636
G5-07,G5-12,黒紫の深淵魔王,仮面とカードを操る道化王,0.61839,0.84219,0.83096,0.8526,0.25324
U4-15,G3-02,結晶装甲の岩ゴーレム,ティーポットゴーレム,0.61834,0.71244,0.8016,0.63016,0.4648
G4-03,G5-07,日食仮面の支配者,黒紫の深淵魔王,0.61818,0.84815,0.89863,0.80161,0.24296
G4-10,G4-13,鏡の迷宮騎士,彗星剣の戦士,0.61813,0.75582,0.79487,0.71983,0.39347
U4-23,U5-26,王冠と杖を持つリッチ王,楽器を弾く魔法使いガイコツ,0.61781,0.77808,0.80673,0.7517,0.35633
U3-21,U6-01,青い結晶を背負った水の生物,笑顔の青いスライム,0.61756,0.83878,0.81232,0.86328,0.25662
G3-30,G4-27,機械仕掛けの巨大方位磁針,宇宙方位磁針の巨人,0.61753,0.70979,0.68476,0.73296,0.46699
U4-08,U6-06,鎌を持つ騎乗死神,剣盾を持つガイコツ兵,0.6174,0.73532,0.77462,0.69908,0.425
G3-24,G4-10,チェスのルーク騎士,鏡の迷宮騎士,0.61651,0.76815,0.79439,0.74403,0.36909
U2-27,U3-24,氷をまとった白フクロウ,氷をまとった青白いヒツジ,0.61602,0.85467,0.85775,0.85188,0.22666
G1-25,G4-14,砂時計の精,日時計の巨像,0.61595,0.73026,0.74284,0.71867,0.42945
G5-10,G5-27,白毛の巨大獣王,舞台ごと現れた夢劇場の王,0.61579,0.83988,0.9232,0.76296,0.25017
U3-09,U6-20,花を付けた葉のウサギ,角を持つ白ウサギ,0.6157,0.6804,0.76583,0.60147,0.51012
G5-07,G5-29,黒紫の深淵魔王,赤黒の宇宙操り人形皇帝,0.61547,0.85245,0.88009,0.82695,0.22883
G4-02,G4-29,時計仕掛けの宮殿巨人,火山炉の城塞巨人,0.61538,0.80582,0.78908,0.82133,0.30464
U4-18,G5-03,水と蓮に包まれた女王,月を背負う優雅な女王,0.61497,0.79845,0.89184,0.71221,0.3156
G3-09,G4-06,旅行かばんミミック,黒曜石の音楽箱獣,0.61491,0.81201,0.81051,0.81341,0.29333
U2-20,U6-01,泡を出す青いしずくスライム,笑顔の青いスライム,0.61448,0.69579,0.60543,0.77929,0.48182
U6-15,G3-19,甲羅装甲の緑カメ,古いカメラのクモ,0.61443,0.76874,0.80907,0.7316,0.36265
G3-06,G4-10,傘槍の戦士,鏡の迷宮騎士,0.61442,0.73238,0.75406,0.71243,0.42196
G4-14,G4-25,日時計の巨像,星空球を抱く巨像,0.61436,0.78245,0.77993,0.78484,0.3401
U5-10,U6-16,炎をまとった黒い鳥,雷をまとった青黄の鳥,0.6142,0.6695,0.71736,0.62539,0.52397
U5-23,U6-27,多色羽の森の妖精,緑羽の妖精,0.6142,0.76602,0.81179,0.72373,0.36651
U1-30,U4-03,泡をまとった青い子ドラゴン,黒紫の大型ドラゴン,0.61417,0.65451,0.85396,0.47024,0.54835
G3-29,G4-06,工具箱ミミック,黒曜石の音楽箱獣,0.614,0.79131,0.80725,0.7766,0.32471
G5-03,G5-10,月を背負う優雅な女王,白毛の巨大獣王,0.61396,0.81053,0.81059,0.81052,0.29324
U4-04,U5-22,宝珠を抱く巨大な古代樹,湿地をまとった巨大樹,0.61374,0.81914,0.80478,0.83243,0.27861
U4-09,G5-18,杖を持つ森の妖精女王,天空と大地をまとった地平の女王,0.61364,0.81262,0.90078,0.73121,0.28898
U4-06,G3-02,溶岩でできた巨大ゴーレム,ティーポットゴーレム,0.613,0.73063,0.77116,0.69331,0.42109
U4-15,U4-27,結晶装甲の岩ゴーレム,歯車を内蔵した森のゴーレム,0.61275,0.73593,0.91591,0.56974,0.41178
U1-05,U5-05,雲の体を持つクラゲ,魔法帽子ランタンのクラゲ,0.61266,0.71494,0.77214,0.6621,0.44579
G4-02,G4-14,時計仕掛けの宮殿巨人,日時計の巨像,0.61245,0.84092,0.83038,0.8507,0.23968
U5-08,G3-24,盾と槍を持つカカシ騎士,チェスのルーク騎士,0.61225,0.79296,0.78621,0.79927,0.31741
U2-12,U3-25,花を咲かせた小型サボテン,花を咲かせた緑のヘビ,0.61218,0.81676,0.87491,0.76315,0.2784
U5-26,U6-29,楽器を弾く魔法使いガイコツ,王冠と杖を持つ黒いリッチ王,0.61199,0.77846,0.81345,0.74622,0.34038
U1-01,U3-28,葉を生やした青い水スライム,葉のふたを持つ緑の壺スライム,0.61196,0.74645,0.8787,0.6244,0.39253
U4-08,U5-26,鎌を持つ騎乗死神,楽器を弾く魔法使いガイコツ,0.6116,0.75527,0.8331,0.68343,0.3772
U1-01,U6-23,葉を生やした青い水スライム,緑の毒スライム,0.61107,0.67157,0.83433,0.52136,0.51236
G5-07,G5-08,黒紫の深淵魔王,紅い外套と剣の覇王,0.61084,0.81387,0.87373,0.75862,0.27957
U2-03,G4-14,苔むした丸岩ゴーレム,日時計の巨像,0.61062,0.80519,0.85418,0.75996,0.29316
G5-05,G5-29,冷静な蒼い嵐の皇帝,赤黒の宇宙操り人形皇帝,0.6106,0.77661,0.83851,0.71947,0.33975
G4-01,G4-29,大聖堂の鐘を宿す巨像,火山炉の城塞巨人,0.61033,0.8203,0.8235,0.81739,0.26775
G4-17,G5-10,ルーレット魔王,白毛の巨大獣王,0.61026,0.78688,0.83674,0.74082,0.32211
G3-06,G3-14,傘槍の戦士,レコード円盤戦士,0.6101,0.72768,0.71358,0.74082,0.41827
G5-03,G5-09,月を背負う優雅な女王,氷宮の女帝,0.60997,0.84701,0.85746,0.83739,0.22324
U5-08,G3-21,盾と槍を持つカカシ騎士,ケーキ騎士,0.6098,0.73489,0.72311,0.7458,0.4057
U4-04,U5-14,宝珠を抱く巨大な古代樹,一つ目の巨大樹人,0.60929,0.8593,0.83662,0.88029,0.20139
U2-10,U6-11,太陽のような炎の精,人型の炎エレメント,0.60926,0.81504,0.77173,0.85509,0.27352
U4-06,U4-13,溶岩でできた巨大ゴーレム,火山を背負った溶岩ガメ,0.60921,0.86054,0.87021,0.85168,0.19915
U5-29,U6-06,大鎌を持つ黒紫の死神,剣盾を持つガイコツ兵,0.60913,0.73779,0.7929,0.68696,0.3992
G1-14,G3-05,方位磁針の生物,時計仕掛けのカニ,0.60906,0.77729,0.80001,0.75641,0.33458
G3-06,G3-21,傘槍の戦士,ケーキ騎士,0.60896,0.70661,0.73591,0.67959,0.44963
U1-18,U2-29,提灯を持つ白い幽霊,青いランタンを持つフード幽霊,0.6088,0.7726,0.87702,0.67616,0.34154
U2-23,U5-06,青白いグリフォン,金青の装飾を持つ白い猛禽,0.60875,0.78165,0.81783,0.74829,0.32666
G4-11,G5-17,摩天楼の巨人,紫光を放つ星雲大聖堂,0.6085,0.72289,0.76925,0.68002,0.42185
U2-27,U6-03,氷をまとった白フクロウ,青白い大ワシ,0.60834,0.755,0.80917,0.70494,0.36907
U3-27,G4-14,苔むした小型岩ゴーレム,日時計の巨像,0.60829,0.80655,0.82285,0.79153,0.2848
U1-30,U2-15,泡をまとった青い子ドラゴン,葉と角を持つ緑の子ドラゴン,0.60823,0.63678,0.85454,0.43573,0.56166
G4-26,G5-29,多数の王冠をまとう王,赤黒の宇宙操り人形皇帝,0.60811,0.85493,0.83723,0.87132,0.20542
G5-10,G5-22,白毛の巨大獣王,多色の門を操る次元王,0.60799,0.81165,0.86265,0.76461,0.27571
G4-17,G5-29,ルーレット魔王,赤黒の宇宙操り人形皇帝,0.60796,0.83901,0.79917,0.87586,0.23098
U4-12,U5-08,白翼の聖騎士,盾と槍を持つカカシ騎士,0.60793,0.75151,0.81186,0.69581,0.37367
U2-30,U3-17,発光器を持つ青いチョウチンアンコウ,泡を出す青い魚,0.60788,0.75299,0.81931,0.69178,0.37112
G4-07,G5-05,磁器の女王,冷静な蒼い嵐の皇帝,0.60695,0.79921,0.82544,0.77503,0.29326
U4-02,U6-03,金青の装飾を持つ聖獣グリフォン,青白い大ワシ,0.60665,0.79855,0.8737,0.72913,0.29354
G4-18,G5-25,時計塔の怪物,宙に浮く虚無宮殿,0.60663,0.76762,0.72221,0.80954,0.34396
U4-12,G4-13,白翼の聖騎士,彗星剣の戦士,0.60655,0.74162,0.841,0.64984,0.38617
U1-15,U6-03,薬瓶を運ぶ黒いカラス,青白い大ワシ,0.60649,0.7739,0.80902,0.74153,0.33335
G4-17,G5-27,ルーレット魔王,舞台ごと現れた夢劇場の王,0.60609,0.82367,0.82131,0.8259,0.25111
G2-13,G2-15,塩入れの生物,白いもちの生物,0.60609,0.87309,0.88712,0.86014,0.17047
G4-26,G5-08,多数の王冠をまとう王,紅い外套と剣の覇王,0.60596,0.82353,0.82983,0.81773,0.25097
U3-09,U5-11,花を付けた葉のウサギ,星月をまとった白ウサギ,0.60582,0.69451,0.79445,0.60218,0.46111
U5-14,U5-22,一つ目の巨大樹人,湿地をまとった巨大樹,0.60506,0.79316,0.73796,0.84417,0.29817
U4-03,U4-28,黒紫の大型ドラゴン,結晶翼を持つ青紫ドラゴン,0.6048,0.69473,0.82581,0.57357,0.45808
G3-24,G4-13,チェスのルーク騎士,彗星剣の戦士,0.60417,0.77342,0.77308,0.77381,0.32802
U2-01,U5-01,葉を生やした緑のスライム,泡を出す青いスライム,0.60395,0.67346,0.82176,0.53652,0.49054
U1-03,U5-18,青い結晶を背負った甲虫,紫結晶を背負ったモグラ,0.60388,0.70952,0.85507,0.57512,0.43151
U3-15,G2-20,巻貝を背負った小さなヤドカリ,巻貝の精,0.60377,0.75966,0.75595,0.76316,0.34942
U1-17,U4-13,火山岩のダンゴムシ,火山を背負った溶岩ガメ,0.60367,0.81455,0.84183,0.78942,0.25961
U4-13,G3-19,火山を背負った溶岩ガメ,古いカメラのクモ,0.60365,0.74852,0.8055,0.69597,0.36729
U1-28,U3-24,氷結晶をまとった白フクロウ,氷をまとった青白いヒツジ,0.60336,0.87241,0.864,0.88022,0.1644
G3-04,G4-06,洋服ダンスミミック,黒曜石の音楽箱獣,0.60334,0.79304,0.79718,0.78926,0.29383
U6-09,G4-01,苔むした岩ゴーレム,大聖堂の鐘を宿す巨像,0.60331,0.8346,0.87652,0.7959,0.22595
G4-29,G5-25,火山炉の城塞巨人,宙に浮く虚無宮殿,0.60287,0.77421,0.84013,0.71338,0.32332
U4-23,U6-06,王冠と杖を持つリッチ王,剣盾を持つガイコツ兵,0.60283,0.72745,0.69032,0.76183,0.3995
G4-16,G5-10,操り人形の王,白毛の巨大獣王,0.60246,0.75732,0.81055,0.70813,0.34979
G4-01,G4-22,大聖堂の鐘を宿す巨像,遊園地を背負う巨像,0.60226,0.82319,0.75183,0.88911,0.2418
U2-23,U2-27,青白いグリフォン,氷をまとった白フクロウ,0.60225,0.76008,0.8375,0.68864,0.34473
U5-12,G4-14,本の束でできたゴーレム,日時計の巨像,0.60206,0.79978,0.75502,0.84117,0.27948
U1-14,U3-14,紫炎でできた一つ目の霊体,青い鬼火をまとった白い霊体,0.60203,0.7828,0.81359,0.75437,0.30707
U1-10,U5-21,バラの殻を持つカタツムリ,青金の装甲を持つ巻貝昆虫,0.60199,0.75907,0.82593,0.69737,0.34569
G4-26,G5-13,多数の王冠をまとう王,生きた玉座に座る暴君,0.60184,0.84917,0.86508,0.83451,0.19829
G3-06,G3-24,傘槍の戦士,チェスのルーク騎士,0.60165,0.75479,0.76419,0.7462,0.35178
U1-08,U1-25,青い鬼火をまとった小さなガイコツ,骨が見える青いゾンビ魚,0.60161,0.78813,0.83394,0.74586,0.29729
G4-18,G4-27,時計塔の怪物,宇宙方位磁針の巨人,0.6015,0.77827,0.71966,0.83243,0.31309
U2-27,U5-06,氷をまとった白フクロウ,金青の装飾を持つ白い猛禽,0.60126,0.77702,0.82126,0.73615,0.31449
U3-17,U5-01,泡を出す青い魚,泡を出す青いスライム,0.6009,0.79678,0.7562,0.83434,0.28131
U4-21,U6-02,金装甲をまとった青い海竜,緑の翼竜,0.60079,0.74919,0.87053,0.63723,0.35866
U1-14,U2-08,紫炎でできた一つ目の霊体,紫の鬼火に包まれたドクロ,0.60033,0.87394,0.85125,0.89495,0.1539
G3-05,G4-02,時計仕掛けのカニ,時計仕掛けの宮殿巨人,0.60023,0.74533,0.81091,0.68476,0.36349
G4-17,G5-12,ルーレット魔王,仮面とカードを操る道化王,0.5999,0.81092,0.77855,0.84087,0.25561
G1-09,G4-27,懐中時計の子,宇宙方位磁針の巨人,0.59984,0.71748,0.84249,0.60203,0.40789
G1-09,G3-05,懐中時計の子,時計仕掛けのカニ,0.59968,0.78785,0.80618,0.77103,0.29266
U4-09,G5-01,杖を持つ森の妖精女王,笑顔で手を差し伸べる白ひげ王,0.59967,0.83295,0.88779,0.78235,0.21905
U2-27,U6-16,氷をまとった白フクロウ,雷をまとった青黄の鳥,0.59965,0.71539,0.78707,0.64921,0.4108
G5-05,G5-10,冷静な蒼い嵐の皇帝,白毛の巨大獣王,0.59944,0.81652,0.83904,0.79579,0.24528
U4-18,G5-09,水と蓮に包まれた女王,氷宮の女帝,0.59936,0.83197,0.88159,0.78611,0.21985
G3-17,G4-25,城入りスノードームゴーレム,星空球を抱く巨像,0.59909,0.81153,0.83928,0.7859,0.25247
U4-22,U5-10,巨大な炎のフェニックス,炎をまとった黒い鳥,0.5988,0.76454,0.75123,0.77689,0.32839
U1-10,U3-15,バラの殻を持つカタツムリ,巻貝を背負った小さなヤドカリ,0.59878,0.75714,0.78836,0.72842,0.34039
G3-30,G4-18,機械仕掛けの巨大方位磁針,時計塔の怪物,0.59853,0.75955,0.76641,0.75324,0.3358
G4-17,G5-08,ルーレット魔王,紅い外套と剣の覇王,0.59852,0.79239,0.80955,0.77655,0.2822
G1-14,G5-16,方位磁針の生物,世界時計の機械神,0.59839,0.70953,0.76528,0.65807,0.41705
U2-03,U2-21,苔むした丸岩ゴーレム,岩の体と赤いハサミを持つヤドカリ,0.59826,0.84086,0.87282,0.81143,0.20243
G4-03,G4-17,日食仮面の支配者,ルーレット魔王,0.59815,0.81444,0.8387,0.7921,0.24525
G3-28,G4-04,鏡の霊体,嵐をまとう幽霊船,0.59811,0.80679,0.88261,0.73685,0.25762
G4-16,G5-12,操り人形の王,仮面とカードを操る道化王,0.598,0.79439,0.77259,0.81458,0.27758
G4-16,G5-08,操り人形の王,紅い外套と剣の覇王,0.59785,0.77644,0.7773,0.7757,0.30645
U2-08,U4-08,紫の鬼火に包まれたドクロ,鎌を持つ騎乗死神,0.59774,0.75577,0.84904,0.66961,0.3399
U2-02,U4-25,炎の尾を持つ小さなキツネ,雷をまとった青いオオカミ,0.59756,0.7017,0.84666,0.56784,0.42766
U3-28,U6-30,葉のふたを持つ緑の壺スライム,王冠と口ひげの黄金スライム王,0.59751,0.78371,0.89815,0.67816,0.2937
G4-07,G5-07,磁器の女王,黒紫の深淵魔王,0.5974,0.73091,0.81436,0.65378,0.37957
U1-25,U6-29,骨が見える青いゾンビ魚,王冠と杖を持つ黒いリッチ王,0.59725,0.77635,0.85648,0.70239,0.30504
G5-10,G5-18,白毛の巨大獣王,天空と大地をまとった地平の女王,0.59722,0.80603,0.83215,0.78197,0.25653
U1-28,U6-03,氷結晶をまとった白フクロウ,青白い大ワシ,0.59721,0.74923,0.799,0.70324,0.34917
U6-29,G5-07,王冠と杖を持つ黒いリッチ王,黒紫の深淵魔王,0.5971,0.85129,0.88294,0.82213,0.18237
U3-21,U5-01,青い結晶を背負った水の生物,泡を出す青いスライム,0.59707,0.80447,0.76213,0.84363,0.25867
U4-09,G5-03,杖を持つ森の妖精女王,月を背負う優雅な女王,0.59698,0.76041,0.87858,0.65129,0.33033
U4-02,U6-16,金青の装飾を持つ聖獣グリフォン,雷をまとった青黄の鳥,0.59693,0.79351,0.83759,0.75279,0.27619
G5-12,G5-22,仮面とカードを操る道化王,多色の門を操る次元王,0.59675,0.79758,0.79993,0.7955,0.26908
U2-10,U4-13,太陽のような炎の精,火山を背負った溶岩ガメ,0.59674,0.8036,0.8425,0.76772,0.25922
G4-01,G5-25,大聖堂の鐘を宿す巨像,宙に浮く虚無宮殿,0.59669,0.76739,0.74862,0.78473,0.31817
U3-29,U4-30,赤い子ドラゴン,雲に乗る金色の天竜,0.5966,0.76791,0.82871,0.71179,0.31711
U5-21,G2-20,青金の装甲を持つ巻貝昆虫,巻貝の精,0.59654,0.73312,0.77956,0.69029,0.37368
U1-04,U3-05,どんぐりを抱えた赤い小悪魔,どんぐりを背負ったクモ,0.59641,0.80515,0.80317,0.80704,0.25585
U1-30,U4-10,泡をまとった青い子ドラゴン,金色の大型ドラゴン,0.59627,0.62565,0.83494,0.43236,0.54835
U3-17,U6-18,泡を出す青い魚,発光器を持つ青いチョウチンアンコウ,0.59625,0.73423,0.80651,0.66749,0.37112
U4-27,U6-25,歯車を内蔵した森のゴーレム,顔のある巨大樹,0.59611,0.8635,0.86826,0.85915,0.15984
U4-23,U5-29,王冠と杖を持つリッチ王,大鎌を持つ黒紫の死神,0.59608,0.73048,0.70708,0.75216,0.37679
G5-08,G5-27,紅い外套と剣の覇王,舞台ごと現れた夢劇場の王,0.59597,0.8269,0.87658,0.78112,0.21918
U3-01,U6-23,泡を出す青いスライム,緑の毒スライム,0.59583,0.59398,0.77965,0.42255,0.59884
G5-09,G5-18,氷宮の女帝,天空と大地をまとった地平の女王,0.59574,0.82757,0.86132,0.79637,0.21748
U3-08,U6-16,葉でできた小鳥,雷をまとった青黄の鳥,0.59569,0.69139,0.66759,0.71344,0.43955
U1-02,U5-26,頭に火が灯る小さなゾンビ,楽器を弾く魔法使いガイコツ,0.59567,0.76866,0.77185,0.76575,0.31342
G4-03,G4-26,日食仮面の支配者,多数の王冠をまとう王,0.59565,0.82704,0.85381,0.80241,0.21811
G4-03,G5-27,日食仮面の支配者,舞台ごと現れた夢劇場の王,0.59555,0.84382,0.9041,0.78827,0.19048
